# pixel_index	counts_u16	rel_intensity
0	3264	0.0498054475
1	3200	0.0488288701
2	2944	0.0449225605
3	3200	0.0488288701
4	3072	0.0468757153
5	2816	0.0429694057
6	3072	0.0468757153
7	3072	0.0468757153
8	2944	0.0449225605
9	3200	0.0488288701
10	2944	0.0449225605
11	3200	0.0488288701
12	2816	0.0429694057
13	3072	0.0468757153
14	2816	0.0429694057
15	3072	0.0468757153
16	3200	0.0488288701
17	3200	0.0488288701
18	3200	0.0488288701
19	3200	0.0488288701
20	3072	0.0468757153
21	3072	0.0468757153
22	3072	0.0468757153
23	3072	0.0468757153
24	3200	0.0488288701
25	3200	0.0488288701
26	3200	0.0488288701
27	3200	0.0488288701
28	3072	0.0468757153
29	3072	0.0468757153
30	3072	0.0468757153
31	3072	0.0468757153
32	3200	0.0488288701
33	2944	0.0449225605
34	2944	0.0449225605
35	3200	0.0488288701
36	3072	0.0468757153
37	3072	0.0468757153
38	2816	0.0429694057
39	3072	0.0468757153
40	3200	0.0488288701
41	3200	0.0488288701
42	2944	0.0449225605
43	3200	0.0488288701
44	3072	0.0468757153
45	3328	0.0507820249
46	3072	0.0468757153
47	3072	0.0468757153
48	3200	0.0488288701
49	3456	0.0527351797
50	3456	0.0527351797
51	3200	0.0488288701
52	3072	0.0468757153
53	3328	0.0507820249
54	3328	0.0507820249
55	3328	0.0507820249
56	3200	0.0488288701
57	3456	0.0527351797
58	3200	0.0488288701
59	3456	0.0527351797
60	3328	0.0507820249
61	3328	0.0507820249
62	3328	0.0507820249
63	3584	0.0546883345
64	3328	0.0507820249
65	3328	0.0507820249
66	3328	0.0507820249
67	3328	0.0507820249
68	3456	0.0527351797
69	3456	0.0527351797
70	3456	0.0527351797
71	3456	0.0527351797
72	3328	0.0507820249
73	3584	0.0546883345
74	3328	0.0507820249
75	3328	0.0507820249
76	3456	0.0527351797
77	3712	0.0566414893
78	3456	0.0527351797
79	3200	0.0488288701
80	3328	0.0507820249
81	3584	0.0546883345
82	3328	0.0507820249
83	3328	0.0507820249
84	3200	0.0488288701
85	3456	0.0527351797
86	3200	0.0488288701
87	3456	0.0527351797
88	3328	0.0507820249
89	3584	0.0546883345
90	3328	0.0507820249
91	3328	0.0507820249
92	3456	0.0527351797
93	3456	0.0527351797
94	3456	0.0527351797
95	3456	0.0527351797
96	3328	0.0507820249
97	3584	0.0546883345
98	3328	0.0507820249
99	3584	0.0546883345
100	3456	0.0527351797
101	3712	0.0566414893
102	3200	0.0488288701
103	3456	0.0527351797
104	3328	0.0507820249
105	3328	0.0507820249
106	3072	0.0468757153
107	3328	0.0507820249
108	3456	0.0527351797
109	3456	0.0527351797
110	3456	0.0527351797
111	3456	0.0527351797
112	3328	0.0507820249
113	3584	0.0546883345
114	3328	0.0507820249
115	3328	0.0507820249
116	3456	0.0527351797
117	3456	0.0527351797
118	3200	0.0488288701
119	3456	0.0527351797
120	3328	0.0507820249
121	3328	0.0507820249
122	3328	0.0507820249
123	3328	0.0507820249
124	3200	0.0488288701
125	3200	0.0488288701
126	3456	0.0527351797
127	3456	0.0527351797
128	3328	0.0507820249
129	3328	0.0507820249
130	3328	0.0507820249
131	3328	0.0507820249
132	3456	0.0527351797
133	3456	0.0527351797
134	3712	0.0566414893
135	3712	0.0566414893
136	3328	0.0507820249
137	3584	0.0546883345
138	3584	0.0546883345
139	3584	0.0546883345
140	3712	0.0566414893
141	3456	0.0527351797
142	3968	0.0605477989
143	3456	0.0527351797
144	3584	0.0546883345
145	3584	0.0546883345
146	3584	0.0546883345
147	3584	0.0546883345
148	3712	0.0566414893
149	3968	0.0605477989
150	4224	0.0644541085
151	7808	0.1191424430
152	9472	0.1445334554
153	4608	0.0703135729
154	5120	0.0781261921
155	7936	0.1210955978
156	5504	0.0839856565
157	4480	0.0683604181
158	4480	0.0683604181
159	3968	0.0605477989
160	3840	0.0585946441
161	4352	0.0664072633
162	4864	0.0742198825
163	4864	0.0742198825
164	4992	0.0761730373
165	7040	0.1074235142
166	7808	0.1191424430
167	6272	0.0957045853
168	7936	0.1210955978
169	15104	0.2304722667
170	17408	0.2656290532
171	11776	0.1796902419
172	9856	0.1503929198
173	16000	0.2441443503
174	18304	0.2793011368
175	16000	0.2441443503
176	12544	0.1914091707
177	9728	0.1484397650
178	8192	0.1250019074
179	6400	0.0976577401
180	5248	0.0800793469
181	5248	0.0800793469
182	6016	0.0917982757
183	7552	0.1152361334
184	9728	0.1484397650
185	11008	0.1679713130
186	11520	0.1757839322
187	13824	0.2109407187
188	15232	0.2324254215
189	12928	0.1972686351
190	12160	0.1855497063
191	10624	0.1621118486
192	9472	0.1445334554
193	7424	0.1132829786
194	6400	0.0976577401
195	6912	0.1054703593
196	7808	0.1191424430
197	8576	0.1308613718
198	8576	0.1308613718
199	8320	0.1269550622
200	8192	0.1250019074
201	7680	0.1171892882
202	6656	0.1015640497
203	5888	0.0898451209
204	5248	0.0800793469
205	4736	0.0722667277
206	4480	0.0683604181
207	4480	0.0683604181
208	4096	0.0625009537
209	4096	0.0625009537
210	3840	0.0585946441
211	3840	0.0585946441
212	3968	0.0605477989
213	4224	0.0644541085
214	3968	0.0605477989
215	3968	0.0605477989
216	4096	0.0625009537
217	3840	0.0585946441
218	3840	0.0585946441
219	3840	0.0585946441
220	3712	0.0566414893
221	3712	0.0566414893
222	3712	0.0566414893
223	3968	0.0605477989
224	3584	0.0546883345
225	3584	0.0546883345
226	3584	0.0546883345
227	3584	0.0546883345
228	3456	0.0527351797
229	3456	0.0527351797
230	3712	0.0566414893
231	3712	0.0566414893
232	3584	0.0546883345
233	3584	0.0546883345
234	3584	0.0546883345
235	3328	0.0507820249
236	3200	0.0488288701
237	3200	0.0488288701
238	3200	0.0488288701
239	3200	0.0488288701
240	2816	0.0429694057
241	3328	0.0507820249
242	3072	0.0468757153
243	3072	0.0468757153
244	2944	0.0449225605
245	3200	0.0488288701
246	3200	0.0488288701
247	3200	0.0488288701
248	2816	0.0429694057
249	3072	0.0468757153
250	2816	0.0429694057
251	0768	0.0117189288
